О каком своем изобретении пожалел шотландский физик Роберт Уотсон-Уотт когда был остановлен дорожной полицией за превышение скорости;Радар
Впервые это вид игрушки появился в 9 веке в Японии;Неваляшка
Гостиная знатной дамы для приема близких знакомых;Будуар
Что раньше называли мозговницей;Голова
Правитель древнего рима;Помпея
Перед человеком этой профессии часто открываются почти все двери;Взломщик
Вкусное блюдо из свинины;Ишпичмак
Этого не стоит показывать человеку страдающему погонофобией;Борода
Как мы называем то что моряки привыкли называть рифовый узел;Бантик
Гений в математике;Евклид, Коши
Хищное млекопитающее с пушистым хвостом, похожее на крупную крысу;Мангуст
Этот фрукт признан самым калорийным и в Индии зовется коровой бедняков;Авокадо
Самая большая в мире поваренная книга называлась пирующие;Ученые
Эта вещь придает имиджу мужчины деловую окраску;Галстук
В Англии до 1824 года они официально считались проходимцами и бродягами;Актёры
Холодное оружие;Катана
Поэт живший в 19 веке;Байрон/Грибоедов
С греческого языка слово переводится как неограниченная власть;Диспотия
Это вещество, применяемое в технике и медицине, изначально называлось нефтяное желе. Но покупателям название не понравилось, и его переименовали;Вазелин
Этот головной убор появился во времена гражданской войны и назывался колчаковка;Ушанка
Должностное лицо отвечающее за перевозку продовольствия в походе;Сытник
Термин используемый и в шахматах и в танцах;Позиция
Прообразом этой игрушки стали японские фигурки буддийского монаха Фукуруму;Матрешка
Вымышленное создание. В Англии его называли брауни, в Норвегии ниссе. А как его называли на Руси;Домовой
Одно из важных изобретений эпохи промышленной революции;Подшипник
У курдов-езидов представитель одного из высших духовных сословий;Факир
Большой круг небесной сферы;Меридиан
С чем нельзя ходить в баню?;Крест
Это есть в ванной комнате;Коврик
Как назывались извозчики, которых обычно нанимали для загородных или ночных поездок большими шумными компаниями;Троечник
Визуальное повествование впервые появившееся в 16 веке в виде пересказов жизни святых;Комикс
Бедный, неказистый домишко, избенка;Хибара
Памятник чему установлен в Москве на Таганской улице;Табурет
Способность к чему по мнению Плутарха одарены дельфины;Дружба
На олимпийских играх в 1994 году в лиллехаммере церемония открытия проводилась на комплексе этих сооружений;Трамплин
Существо из восточнославянской мифологии;Кикимора
С Голландского языка фамилия этого американского режиссера могла бы переводиться как нижняя палуба корабля;Кубрик
Беззубое млекопитающее тропической америки;Муравьед
Название этого продукта происходит от ацтекского слова, дословно переводящегося как горькая вода;Шоколад
До 2 половины XIX века так иногда называли крупные гравюры агитационного характера;Плакат
Так в Элладе назывался человек, пришедший без приглашения с кем то из гостей;Паразит
Марка американского авто;Камень
Общий стол для приема пищи в монастыре;Трапеза
Лечебная жидкость, изготавливаемая из трав;Снадобье
Этот всем известный с детства термин произошел от латинского названия звезды Сириус, утренний восход который приходился на жаркое время года;Каникулы
Что надевали в вятской губернии на лошадь после бани в чистый понедельник;Штаны
Женщин этой древнейшей профессии называли и жрицами любви и ночными бабочками а во Франции их сравнивали с овощем;Картофель
Очень спокойное место;Церковь
Что является главным предметом такого вида экстремального спорта, как свуп;Парашют
Бухгалтерский термин;Отчётность
Что изготавливал в старину скудельник;Кувшин
Ломоносов впервые придумал название этому прибору, затем оно прочно вошло в обиход;Градусник
Что был вынужден изобрести Эдиссон после изобретения лампочки;Выключатель
Это слово в переводе с греческого обозначает бродяга, странник;Планета
Популярное шоу в средневековой Западной Европе;Турнир
Что Оноре де Бальзак в шутку называл шестым чувством, позволяющим нам наслаждаться пятью остальными;Деньги
Вечеринка деревенской молодежи в старой Русской деревне;Посиделки
Сказочный народ;Гномы/Тролли
Оформленный главный вход большого здания;Портал
Что Фридрих Ницше считал лучшим лекарством для мужчины;Победа
Так звалась ханская грамота с перечнем повинностей, выдававшаяся князю в знак его подчинения Золотой Орде;Ярлык
Право официально предоставленное на совершение действия;Полномочия
Компьютерная игра;Марио
Нижние слои воды этого моря перенасыщены сероводородом, что делает эту воду непригодной ни для какой жизни;Черное
Этот город отказался от проведения олимпийских игр;Денвер
Этот представитель фауны умеет менять пол по своему желанию;Устрица
Какой цветок является традиционным христианским символом горя;Одуванчик
Как на Руси издавна называли пару волов или лошадей запряженных в одну упряжку;Супруги
Слово это пришло из греческого языка, где обозначало парикмахера;Хирург
Человек чья власть обеспечивается жизненным опытом знанием традиций и обычаев;Старейшина
Жанр древнерусской литературы;Летопись
Ловкий человек добивающийся своего любыми способами;Проныра
Назовите небольшое увеселительное заведение, в котором ключевую роль играют спиртные напитки;Таверна
Мелкое насекомое;Златоглазка/Термит
Этот человек не любит говорить о сексе;Импотент
Фамилия семейства в Ирландии ставшая нарицательной из за частых проблем с полицией;Хулиган
Обезболивающее средство;Баралгин/Цитрамон
Что в индейском государстве муисков оставляли у дверей неплательщиков налогов;Ягуар
В 11 веке в Англии так называли землевладельцев, державших свои участки под условием исполнения определенной службы королю;Сержант
Это красивое растение на Руси называли одолень трава;Кувшинка
Организм, в котором живет паразит;Хозяин
Предмет удлиненной формы, являющийся обычно осевой или опорной частью чего-либо;Стержень
Чрезвычайно урожайное садовое растение;Крыжовник
Вид сумки;Рюкзак
Что являлось главной добродетелью вассала по отношению к своему сеньору в период феодализма;Верность
Мультяшный герой;Белоснежка
Спортивная машина;Ламборжини
В качестве чего Леонардо Да Винчи использовал устройство которое терло ноги;Будильник
Как в римско католической церкви называется высший епископ;Примат
Слуховая часть внутреннего уха;Улитка
Так называлась пища богов, а у людей с ней отношения не очень хорошие;Амброзия
Этот цветок Паустовский назвал маленькой звездой, закутанной по горло в белый мех, чтобы не замерзнуть от прикосновения льдов;Эдельвейс
Азиатская валюта;Риель
Разновидность верхней одежды;Дубленка/Пиджак
Этим наполняли термометры вместо ртути до 1600 года;Бренди
B Турции это было введено только 1 января 1935 года.;Фамилия
Головной убор 17 века, пришедший на смену широкополой шляпе, как более практичный для переноса оружия на плече;Треуголка
Это слово, наводившее несколько веков страх на людей по всей Европе, переводится просто как расследование;Инквизиция
Изначально это слово обозначало человека, непригодного к военной службе;Негодяй
Кто спит на спине, согласно мнению китайских мудрецов;Святой
Государственная должность;Министр
Головной убор народов Азии и Африки;Тюрбан
Мифологическое существо. В русском фольклоре имело название шутиха или лоскотуха;Русалка
Фотографический термин часто используемый для описания общего настроения;Позитив
Русский народный танец с быстрой сменой фигур и разнообразными кружениями;Метелица
Что используется для защиты от нежелательных последствий;Скафандр/Презерватив
С каким плодом связано начало троянской войны;Яблоко
Этот материал был известен в Египте и Месопотамии, но в современном виде был получен только в 17 веке;Хрусталь
Этого нет у государства Науру;Столица
Чем богатые по мнению голландцев кроют крыши домов?;Блины
Впервые эта пища появилась в России в 19 веке;Колбаса
Он заставлял своих слуг разнашивать его обувь;Наполеон
Популярная ныне игра, зародившаяся в Азии и считающаяся ровесницей шахмат;Бильярд
Древние Греки называли его речной лошадью. А как называем его мы;Бегемот
Может пригодится на кухне;Микроволновка
Полезная для здоровья музыкальная профессия, связанная с ежедневными физическими упражнениями;Дирижер
Этот термин появился в типографии в начале 19 (XIX) века и обозначал объединение двух или трёх знаков типографского шрифта;Логотип
Что не должна ронять невеста на пути к алтарю;Булавка
Должностное лицо в Древнем Риме;Магистр
Одно из первых изображений этого полезного устройства найдено в пещере белее 10000 лет назад;Стремянка
Что было главным хобби писателя Владимира Набокова;Шахматы
Анисовая настойка или ликер;Абсент
Какая трава была названа индейцами следом белого человека;Подорожник
У этих животных, считающихся в некоторых странах деликатесом, зубы расположены на языке;Улитка
Важный правовой документ в сфере производственно рыночных отношений;Лицензия
Как называлась раньше карточная масть пики;Лопата
Что было запрещено делать с орденом Святого Георгия;Снимать
Отношение к рассказанному, когда рассказчик не вызывает у вас доверия;Скепсис
Неизвестно существовал ли этот континент;Лемурия
Что мексиканцы изготовляли из волокнистой древесины кактусов;Воротник
В народе его уважительно называли Золотой Иван Иваныч . А как его называем мы;Самовар
Согласно Библии это грех;Пьянство
Культовая одежда эпохи СССР;Телогрейка
Строительный материал поле чудес;Рубероид
Богиня в Римской мифологии, олицетворяющая порядок в воинских подразделениях;Дисциплина
Эта известная в истории женщина иногда носила искусственную бороду;Клеопатра
Они появились в XIII веке в Китае, а слово ввел француз Буланже;Ресторан
Мифическое животное имеющее одновременно черты льва, козы и дракона;Химера
Необходимая для ремонта вещь;Стремянка/Пассатижи/Мастерок
Какой обряд важно совершить во время боя часов в США;Поцелуй
Как назывался в древней Греции удар, который нужно было пропустить не защищаясь;Климакс
Минута смеха так же полезна, как один килограмм;Морковь
Наши предки считали, что заяц находится в подчинении у лешего, а кому он не подвластен?;Водяной
Эта иностранная монета в простонародье получила название боб;Шиллинг
Материал из которого делали подушки в Древнем Египте;Камень
Довольно частое природное явление которому приписывают разнообразные мифические свойства;Полнолуние
Условное место действия скандального эксперимента Филиппа Зимбардо;Тюрьма
Пристройка к церкви, начавшая появляться на руси с 9 века;Колокольня
Что обозначает китайский иероглиф, изображающий как две женщины под одной крышей;Проблема
Основной задачей этой профессии изначально была выталкивать актеров на сцену;Бутафор
Согласно Японской мифологии, это животное обитает на луне;Кролик
Жанр иносказательного рассказа, содержащее в себе какое то наставление или осуждение;Притча
Это слово произошло от тюркского слова счастье;Талант
Так Из-за какого предмета на пирах у князя Владимира возникали разногласия вплоть до рукоприкладства?;Ложка
Тропический фрукт продаваемый в России;Грейпфрут
Деталь автомомобиля;Шестерня
В Эфиопии для выведения мух цеце построили даже это;Фабрика
Прототип этого оружия изначально использовался при обработке риса;Нунчаки
Хищное млекопитающее с хвостом;Гиена
Какой строительный инструмент по легенде изобрел Дедал;Рулетка
Единственное ядовитое млекопитающее в мире;Утконос
Друг, партнер и помощник ковбоя;Револьвер
Бумажный патрон папиросы, набитый табаком;Гильза
Самый красивый замок;Сомюр
Одна из крупнейших авиакомпаний в мире;Эмирейтс
Что Американская музыкальная конференция 1977 года определила как плохой деревянный духовой инструмент, на котором никто не умеет играть;Гобой
В древнем Риме гражданин, не имеющий имущественного ценза;Прлетарий
Подхалим, стремящийся расположить в свою пользу;Угодник
Суть торговли, известная с каменного века;Обмен
С чем в шутку сравнивал Островский соленый огурец;Вечность
Складная шляпа цилиндр ныне используется только цирковыми артистами;Шапокляк
В советском союзе многое получило свое имя в честь этого события;Победа
Это приспособление используется в качестве тормоза для удержания на спуске повозок, вагонов или прицепов;Башмак
Разновидность одежды;Пижама
Этот недуг не позволил Илье Репину в преклонном возрасте исправить свою знаменитую картину Иван Грозный и сын его Иван;Дальтонизм
Что нужно, чтобы не оскорбить человека, который готовил вам еду;Чавканье
Что должно появиться в деревне, чтобы ее стали называть селом;Церковь
Это растение на языке цветов символизирует клевету;Крапива
Что еще было феноменального у Шаляпина кроме голоса;Память
что было изобретено французским полководцем ГБ999 в. Луи Крильонским?;Майонез
Как в Древней Греции назывался раб, отводящий ребенка в школу;Педагог
Генерал прославившийся нововведениями во внешнем виде кавалерии;Галилей
В культуре древних славян этот предмет связывался с культом предков, поэтому был важным элементом родильных погребальных и свадебных обрядов;Полотенце
Что в Древнем Египте называли звездой солнца;Абрикос
Благодаря этому механизму, изобретенному философом Иммануилом Кантом, историки без труда определяют, что документ принадлежит именно Иммануилу Канту;Дырокол
Недобросовестное затягивание дела или решения какого нибудь вопроса;Волокита
Месиканская еда;Тортилья
Куда, согласно святочному обычаю, бросали последнюю ложку кутьи;Потолок
У этого животного на две хромосомы больше, чем у человека;Горилла
Это плодовое дерево способно вырастать до 30-ти метров в высоту;Черешня
Первого апреля по новому стилю девушки старались обмануть как можно больше людей;Жених
Это является основой списков, сортировки и учения;Алфавит
"Этот ""символ"" Франции был придуман в Вене после победы над Турками и скопирован с изображения на турецком флаге.";Круассан
Название этого цветка происходит от названия восточного головного убора;Тюльпан
Деталь одежды, впервые появившаяся в XIII веке;Воротник
На гербе этого Украинского города изображен молоток;Донецк
Фрукт, растущий на ценном своей древесиной черном дереве;Хурма
До эпохи Петра Первого это слово обозначало меру длины которая равнялась;Поприще
Этот праздник посвящен мученику и судя по всему справедливо, с учетом того, сколько денег тратят в этот день;Валентин
На что может домовой обидеться кроме ругани скандалов дыма;Свист
Он так и не выучил таблицу умножения;Подсказываем
В Китае не пройдя через это , женщина считается психически неполноценной;Замужество
